study_hours,attendance,previous_score,result
6.8,51,82,Pass
3.5,64,43,Fail
7.6,93,82,Pass
9.0,55,72,Pass
4.8,51,40,Fail
3.0,82,73,Pass
1.2,62,80,Fail
6.8,84,61,Pass
3.0,87,52,Fail
8.3,50,83,Pass
8.3,94,62,Pass
4.1,59,48,Fail
9.6,71,41,Pass
1.8,56,57,Fail
8.6,88,51,Pass
8.3,96,64,Pass
5.8,74,40,Fail
6.0,90,74,Pass
9.0,73,71,Pass
2.7,54,37,Fail
7.0,99,53,Pass
9.9,64,90,Pass
1.9,67,64,Fail
6.7,73,45,Pass
4.3,63,77,Pass
3.4,93,76,Pass
1.6,90,45,Fail
5.8,65,45,Fail
5.2,67,94,Pass
6.8,85,49,Pass
7.2,99,84,Pass
1.5,52,86,Fail
3.8,67,39,Fail
2.9,86,91,Pass
7.5,63,76,Pass
5.5,91,64,Pass
2.3,58,50,Fail
7.7,84,51,Pass
7.7,77,92,Pass
6.3,73,49,Pass
10.0,58,67,Pass
5.4,98,38,Pass
8.7,59,75,Pass
2.4,93,62,Fail
6.4,74,59,Pass
6.4,79,68,Pass
3.3,85,90,Pass
9.5,93,81,Pass
2.0,84,83,Pass
3.4,91,56,Fail
2.0,77,45,Fail
5.1,96,91,Pass
7.5,82,83,Pass
2.6,56,90,Fail
6.6,90,67,Pass
6.5,59,58,Pass
7.9,84,84,Pass
9.3,50,73,Pass
3.9,51,42,Fail
9.4,69,50,Pass
1.5,86,95,Pass
1.7,96,66,Fail
8.3,98,69,Pass
7.9,58,77,Pass
5.3,85,45,Fail
3.4,88,62,Fail
9.7,84,83,Pass
7.6,62,80,Pass
3.8,92,76,Pass
4.4,83,63,Pass
2.1,64,39,Fail
4.0,87,70,Pass
3.1,64,35,Fail
1.6,90,38,Fail
3.1,52,90,Pass
4.0,82,50,Fail
3.5,81,48,Fail
5.9,96,94,Pass
8.9,86,65,Pass
3.2,80,86,Pass
4.7,56,41,Fail
6.9,72,62,Pass
4.7,96,38,Fail
7.1,91,41,Pass
1.5,96,56,Fail
8.2,56,50,Pass
2.7,84,63,Fail
2.3,61,52,Fail
5.2,54,63,Fail
8.3,85,41,Pass
1.5,84,88,Pass
1.1,55,94,Fail
7.8,65,45,Pass
4.7,80,48,Fail
8.8,53,45,Pass
4.4,74,51,Fail
9.3,100,64,Pass
3.6,94,81,Pass
10.0,85,77,Pass
7.5,59,47,Pass
